Update: 0, Reward_mean: 0.33498841928427414, Loss: [0.3674328923225403]
Update: 1, Reward_mean: 1.8109956196363803, Loss: [0.6849826574325562]
Update: 2, Reward_mean: 7.652331945486753, Loss: [0.6696082353591919]
Update: 3, Reward_mean: 63.975035289229844, Loss: [338.14801025390625]
Update: 4, Reward_mean: -11.111608800435771, Loss: [46.31649398803711]
Update: 5, Reward_mean: -1.011952689055956, Loss: [0.0440477579832077]
Update: 6, Reward_mean: -1.3318872198001401, Loss: [0.05342330038547516]
Update: 7, Reward_mean: -1.8716061220077294, Loss: [0.4943128228187561]
Update: 8, Reward_mean: -1.7614430479825667, Loss: [0.8343677520751953]
Update: 9, Reward_mean: -0.971373277267258, Loss: [0.6732223033905029]
Update: 10, Reward_mean: -0.9065670509484878, Loss: [0.13911142945289612]
Update: 11, Reward_mean: -1.2078266351676654, Loss: [0.006864309310913086]
Update: 12, Reward_mean: -1.4502392348389161, Loss: [0.3705691695213318]
Update: 13, Reward_mean: -1.1871478390691426, Loss: [0.7174444198608398]
Update: 14, Reward_mean: -0.8863358514488703, Loss: [0.17772693932056427]
Update: 15, Reward_mean: -0.9041425761146754, Loss: [0.08772750943899155]
Update: 16, Reward_mean: -0.9801094945114927, Loss: [0.21582984924316406]
Update: 17, Reward_mean: -0.919718525418919, Loss: [0.30048999190330505]
Update: 18, Reward_mean: -0.8968175903553254, Loss: [0.278647243976593]
Update: 19, Reward_mean: -0.6973219095440694, Loss: [0.13413314521312714]
Update: 20, Reward_mean: -0.8919754912433174, Loss: [0.033241286873817444]
Update: 21, Reward_mean: -0.7061861843141924, Loss: [0.17547045648097992]
Update: 22, Reward_mean: -0.7982897305272292, Loss: [0.2686901092529297]
Update: 23, Reward_mean: -0.8491493430205493, Loss: [0.16261927783489227]
Update: 24, Reward_mean: -0.5304887557224806, Loss: [0.17027819156646729]
Update: 25, Reward_mean: -0.8008517368761554, Loss: [0.01781032234430313]
Update: 26, Reward_mean: -0.6818800153101204, Loss: [0.08411939442157745]
Update: 27, Reward_mean: -0.6870179972451447, Loss: [0.12258976697921753]
Update: 28, Reward_mean: -0.6092020550620285, Loss: [0.2155110239982605]
Update: 29, Reward_mean: -0.5968820791334742, Loss: [0.05759040638804436]
Update: 30, Reward_mean: -0.5164409502006787, Loss: [0.2000439465045929]
Update: 31, Reward_mean: -0.7888354693806183, Loss: [0.09075728803873062]
Update: 32, Reward_mean: -0.6124709847406719, Loss: [0.2635434567928314]
Update: 33, Reward_mean: -0.5863634220711297, Loss: [0.062053192406892776]
Update: 34, Reward_mean: -0.49393738789625946, Loss: [0.20324300229549408]
Update: 35, Reward_mean: -0.8780978707738061, Loss: [0.0762636587023735]
Update: 36, Reward_mean: -0.5232523326186941, Loss: [0.19711333513259888]
Update: 37, Reward_mean: -0.6564998370642942, Loss: [0.17519423365592957]
Update: 38, Reward_mean: -0.46137900386592845, Loss: [0.1576724499464035]
Update: 39, Reward_mean: -0.6224413057213107, Loss: [0.11573828011751175]
Update: 40, Reward_mean: -0.4251268579329081, Loss: [0.15749025344848633]
Update: 41, Reward_mean: -0.46584147188634883, Loss: [0.05889894813299179]
Update: 42, Reward_mean: -0.5624976121444256, Loss: [0.04418657720088959]
Update: 43, Reward_mean: -0.47577548853176943, Loss: [0.2021995186805725]
Update: 44, Reward_mean: -0.398783927442736, Loss: [0.10427483916282654]
Update: 45, Reward_mean: -0.43456390106229065, Loss: [0.09561663866043091]
Update: 46, Reward_mean: -0.4711180056629239, Loss: [0.11079421639442444]
Update: 47, Reward_mean: -0.3511654210807789, Loss: [0.29906442761421204]
Update: 48, Reward_mean: -0.5841481741005777, Loss: [0.060137949883937836]
Update: 49, Reward_mean: -0.4962639183945146, Loss: [0.32925647497177124]
Update: 50, Reward_mean: -0.5093713690277111, Loss: [0.03882788121700287]
Update: 51, Reward_mean: -0.38593920160295914, Loss: [0.07469282299280167]
Update: 52, Reward_mean: -0.44575200408555415, Loss: [0.06296294927597046]
Update: 53, Reward_mean: -0.35335307497083895, Loss: [0.13115441799163818]
Update: 54, Reward_mean: -0.358422924610146, Loss: [0.17895689606666565]
Update: 55, Reward_mean: -0.5683512218282477, Loss: [0.04576050862669945]
Update: 56, Reward_mean: -0.46876812696680864, Loss: [0.05099368467926979]
Update: 57, Reward_mean: -0.3291013808049052, Loss: [0.07873625308275223]
Update: 58, Reward_mean: -0.4465500167719874, Loss: [0.04098616540431976]
Update: 59, Reward_mean: -0.48029611236658815, Loss: [0.09409277886152267]
Update: 60, Reward_mean: -0.44838040708445526, Loss: [0.04832300543785095]
Update: 61, Reward_mean: -0.4819188211465474, Loss: [0.056177880614995956]
Update: 62, Reward_mean: -0.36996355167529615, Loss: [0.10555143654346466]
Update: 63, Reward_mean: -0.3920728925414176, Loss: [0.06042155623435974]
Update: 64, Reward_mean: -0.40168604949068604, Loss: [0.08947914093732834]
Update: 65, Reward_mean: -0.43320593910096955, Loss: [0.06191693991422653]
Update: 66, Reward_mean: -0.3351120470821945, Loss: [0.13072216510772705]
Update: 67, Reward_mean: -0.31777860115108153, Loss: [0.1142176166176796]
Update: 68, Reward_mean: -0.3900000577681232, Loss: [0.061401523649692535]
Update: 69, Reward_mean: -0.35267032860212566, Loss: [0.06421227008104324]
Update: 70, Reward_mean: -0.2871269411834996, Loss: [0.10332070291042328]
Update: 71, Reward_mean: -0.37006767810056684, Loss: [0.08000130951404572]
Update: 72, Reward_mean: -0.320851928733962, Loss: [0.051984213292598724]
Update: 73, Reward_mean: -0.37205113186044303, Loss: [0.04279586672782898]
Update: 74, Reward_mean: -0.3962794315754416, Loss: [0.11240752786397934]
Update: 75, Reward_mean: -0.3341394343323169, Loss: [0.13265115022659302]
Update: 76, Reward_mean: -0.2741612616354804, Loss: [0.09915122389793396]
Update: 77, Reward_mean: -0.18988531228893435, Loss: [0.1700916290283203]
Update: 78, Reward_mean: -0.22376931879562564, Loss: [0.10667107254266739]
Update: 79, Reward_mean: -0.3310732583783569, Loss: [-0.013066571205854416]
Update: 80, Reward_mean: -0.26134232076579567, Loss: [0.08331094682216644]
Update: 81, Reward_mean: -0.48740334778816474, Loss: [0.025700446218252182]
Update: 82, Reward_mean: -0.19822043844091114, Loss: [0.14146417379379272]
Update: 83, Reward_mean: -0.20077266643632657, Loss: [0.13976751267910004]
Update: 84, Reward_mean: -0.2830944195213514, Loss: [0.040131594985723495]
Update: 85, Reward_mean: -0.23689152063018873, Loss: [0.109217569231987]
Update: 86, Reward_mean: -0.12526651539510567, Loss: [0.1279032826423645]
Update: 87, Reward_mean: -0.24156896292084132, Loss: [0.0855102390050888]
Update: 88, Reward_mean: -0.4090879768175506, Loss: [0.0016700327396392822]
Update: 89, Reward_mean: -0.3224734631829827, Loss: [0.039368290454149246]
Update: 90, Reward_mean: -0.4263782188920603, Loss: [0.0530470609664917]
Update: 91, Reward_mean: -0.27869619801201007, Loss: [0.0836794376373291]
Update: 92, Reward_mean: -0.3889274185065922, Loss: [0.03118206560611725]
Update: 93, Reward_mean: -0.19042740861748775, Loss: [0.11725404858589172]
